subj,trial,condition,target,respond,error,trial_duration,fb,fb_true,fb_offset,fb_time,conf
Test_08,123,1,213.49750000000003,-238.99296000000004,-25.49546000000001,41.03333333333333,-12.53683,70.70812,-83.24494999999999,13.7,0.7429969
Test_08,124,3,-181.85939999999997,266.21849999999995,-84.35909999999998,41.00833333333333,0.0,237.4003,-237.4003,10.558333333333334,0.8009961
Test_08,125,1,326.9869,-310.3528,16.63409999999999,49.09166666666667,23.79697,133.5719,-109.77493,20.1,0.7699965
Test_08,126,1,13.838000000000022,-74.44169999999997,-60.60369999999995,21.85,-30.61981,346.9391,-377.55890999999997,2.975,0.8639953
Test_08,127,2,274.18319999999994,-263.6226,10.560599999999965,47.80833333333333,3.219921,134.4129,-131.192979,15.391666666666667,0.8379956
Test_08,128,2,-102.45099999999996,188.8377,-86.38670000000005,41.525,27.15347,337.3376,-310.18413,6.775,0.7659966
Test_08,129,1,-324.59240000000005,440.78999,-116.19758999999993,63.175,20.78615,216.7502,-195.96405000000001,19.216666666666665,0.3290022
Test_08,130,3,-248.69158000000004,304.77694999999994,-56.0853699999999,42.71666666666667,0.0,138.2243,-138.2243,13.441666666666666,0.8369957
Test_08,131,1,199.67427999999998,-248.61479,-48.94051000000002,40.55,-13.08223,7.25766,-20.339889999999997,10.25,0.810996
Test_08,132,1,-223.59105000000005,362.9221,-139.33104999999995,45.74166666666667,-10.63558,158.0524,-168.68798,11.583333333333334,0.5529993
Test_08,133,2,127.06040000000002,-187.1217,-60.06129999999999,32.275,21.78216,102.2246,-80.44243999999999,7.7,0.6209984
Test_08,134,1,146.1746,-223.50939999999997,-77.33479999999997,42.61666666666667,-42.58723,250.0589,-292.64612999999997,10.475,0.5889989
Test_08,135,2,245.8059,-239.49777999999998,6.308120000000031,48.041666666666664,2.300259,23.9016,-21.601340999999998,14.633333333333333,0.5869989
Test_08,136,3,70.0017,-99.4437,-29.442000000000007,31.166666666666668,0.0,231.3254,-231.3254,6.5,0.968994
